reference,article,dn_coder1,dn_coder2,dn_mean,ag_coder1,ag_coder2,ag_mean
Art. 9(1),Article 9,1,1,1,3,2,2.5
Art. 9(2) intro,Article 9,3,3,3,1,1,1
Art. 9(2)(a),Article 9,5,5,5,2,2,2
Art. 9(2)(b),Article 9,3,2,2.5,3,4,3.5
Art. 9(2)(c),Article 9,3,2,2.5,4,5,4.5
Art. 9(2)(d),Article 9,5,5,5,1,1,1
Art. 9(3),Article 9,5,4,4.5,3,2,2.5
Art. 9(4),Article 9,5,5,5,2,2,2
Art. 9(5) intro,Article 9,5,5,5,2,3,2.5
Art. 9(5)(a),Article 9,5,4,4.5,3,4,3.5
Art. 9(5)(b),Article 9,5,5,5,2,3,2.5
Art. 9(5)(c),Article 9,1,1,1,4,4,4
Art. 9(5) out,Article 9,5,5,5,3,4,3.5
Art. 9(6),Article 9,3,3,3,3,2,2.5
Art. 9(7),Article 9,1,1,1,3,3,3
Art. 9(8),Article 9,1,1,1,5,5,5
Art. 9(9),Article 9,4,4,4,4,4,4
Art. 9(10),Article 9,1,1,1,3,2,2.5
Art. 12(1),Article 12,1,1,1,4,4,4
Art. 12(2) intro,Article 12,5,4,4.5,2,2,2
Art. 12(2)(a),Article 12,5,5,5,3,4,3.5
Art. 12(2)(b),Article 12,1,1,1,4,3,3.5
Art. 12(2)(c),Article 12,1,1,1,4,5,4.5
Art. 12(3) intro,Article 12,1,1,1,3,3,3
Art. 12(3)(a),Article 12,1,1,1,5,5,5
Art. 12(3)(b),Article 12,1,1,1,5,5,5
Art. 12(3)(c),Article 12,1,1,1,5,5,5
Art. 12(3)(d),Article 12,1,1,1,5,4,4.5
