log,case_id,truth,fault,fit9,fit12,conforms,presence_ok
A,A000,compliant,,1.0,1.0,True,True
A,A001,compliant,,1.0,1.0,True,True
A,A002,compliant,,1.0,1.0,True,True
A,A003,compliant,,1.0,1.0,True,True
A,A004,compliant,,1.0,1.0,True,True
A,A005,compliant,,1.0,1.0,True,True
A,A006,compliant,,1.0,1.0,True,True
A,A007,compliant,,1.0,1.0,True,True
A,A008,compliant,,1.0,1.0,True,True
A,A009,compliant,,1.0,1.0,True,True
A,A010,compliant,,1.0,1.0,True,True
A,A011,compliant,,1.0,1.0,True,True
A,A012,compliant,,1.0,1.0,True,True
A,A013,compliant,,1.0,1.0,True,True
A,A014,compliant,,1.0,1.0,True,True
A,A015,compliant,,1.0,1.0,True,True
A,A016,compliant,,1.0,1.0,True,True
A,A017,compliant,,1.0,1.0,True,True
A,A018,compliant,,1.0,1.0,True,True
A,A019,compliant,,1.0,1.0,True,True
A,A020,compliant,,1.0,1.0,True,True
A,A021,compliant,,1.0,1.0,True,True
A,A022,compliant,,1.0,1.0,True,True
A,A023,compliant,,0.976,0.941,False,False
A,A024,compliant,,1.0,1.0,True,True
A,A025,compliant,,1.0,1.0,True,True
A,A026,compliant,,1.0,1.0,True,True
A,A027,compliant,,1.0,1.0,True,True
A,A028,compliant,,1.0,1.0,True,True
A,A029,compliant,,1.0,1.0,True,True
A,A030,compliant,,1.0,1.0,True,True
A,A031,compliant,,1.0,1.0,True,True
A,A032,compliant,,1.0,1.0,True,True
A,A033,compliant,,1.0,1.0,True,True
A,A034,compliant,,1.0,1.0,True,True
A,A035,compliant,,1.0,1.0,True,True
A,A036,compliant,,1.0,1.0,True,True
A,A037,compliant,,1.0,1.0,True,True
A,A038,compliant,,1.0,1.0,True,True
A,A039,compliant,,1.0,1.0,True,True
A,A040,compliant,,1.0,1.0,True,True
A,A041,compliant,,1.0,1.0,True,True
A,A042,compliant,,1.0,1.0,True,True
A,A043,compliant,,1.0,1.0,True,True
A,A044,compliant,,1.0,1.0,True,True
A,A045,compliant,,1.0,1.0,True,True
A,A046,compliant,,1.0,1.0,True,True
